date, pm25, pm10, o3, no2, so2, co
2017/9/24, , 14, 25, 7, , 
2017/9/25, , 12, 22, 10, 1, 
2017/9/26, , 8, 28, 10, 1, 
2017/9/27, , 13, 27, 16, 1, 
2017/9/28, , 21, 35, 13, 1, 
2017/9/29, , 24, 21, 8, 1, 
2017/9/30, , 10, 14, 7, , 
2017/4/1, , 8, 38, 3, 1, 
2017/4/2, , 8, 32, 9, 1, 
2017/4/3, , 12, 33, 3, 1, 
2017/4/4, , 9, 34, 3, , 
2017/4/5, , 13, 35, 7, 1, 
2017/4/6, , 29, 37, 12, 1, 
2017/4/7, , 22, 43, 11, 1, 
2017/4/8, , 16, 42, 10, 1, 
2017/4/9, , 18, 39, 8, 1, 
2017/4/10, , 20, 39, 3, 1, 
2017/4/11, , 17, 39, 8, 1, 
2017/4/12, , 19, 40, 7, 1, 
2017/4/13, , 18, 36, 6, 1, 
2017/4/14, , 20, 33, 6, 1, 
2017/4/15, , 13, 31, 5, 1, 
2017/4/16, , 9, 34, 7, 1, 
2017/4/17, , 15, 36, 7, 1, 
2017/4/18, , 16, 38, 4, 1, 
2017/4/19, , 11, 35, 6, 1, 
2017/4/20, , 9, 41, 13, 1, 
2017/4/21, , 17, 49, 8, 1, 
2017/4/22, , 16, 44, 9, 1, 
2017/4/23, , 15, 35, 9, 1, 
2017/4/24, , 15, 26, 10, 1, 
2017/4/25, , 14, 39, 4, 1, 
2017/4/26, , 9, 39, 6, 1, 
2017/4/27, , 10, 35, 7, 1, 
2017/4/28, , 9, 36, 5, 1, 
2017/4/29, , 10, 33, 3, 1, 
2017/4/30, , 7, 34, 5, 1, 
2017/5/1, , 11, 29, 6, 1, 
2017/5/2, , 9, 30, 6, 1, 
2017/5/3, , 11, 34, 8, 1, 
2017/5/4, , 14, 34, 7, 1, 
2017/5/5, , 15, 34, 4, 1, 
2017/5/6, , 9, 30, 5, 1, 
2017/5/7, , 7, 28, 7, 1, 
2017/5/8, , 9, 29, 10, 1, 
2017/5/9, , 15, 31, 9, 1, 
