date, pm25, pm10, o3, no2, so2, co
2020/1/21, 26, 13, 29, 11, , 1
2020/1/22, 34, 19, 17, 15, 1, 1
2020/1/23, 76, 41, 11, 19, 1, 1
2020/1/24, 90, 45, 15, 18, 1, 1
2020/1/25, 82, 35, 19, 13, 1, 1
2020/1/26, 67, 30, 28, 3, 1, 1
2020/1/27, 21, 10, 27, 4, 1, 1
2020/1/28, 32, 17, 22, 11, 1, 1
2020/1/29, 19, 8, 26, 2, 1, 1
2020/1/30, 21, 10, 28, 4, 1, 1
2020/1/31, 13, 8, 19, 4, 1, 1
2020/2/1, 15, 6, 21, 1, 1, 1
2020/2/2, 27, 13, 19, 3, , 1
2020/2/3, 48, 17, 18, 9, , 1
2020/2/4, 64, 35, 14, 13, 1, 1
2020/2/5, 57, 23, 17, 11, 1, 1
2020/2/6, 58, 27, 18, 19, 1, 1
2020/2/7, 67, 36, 25, 9, 1, 1
2020/2/8, 51, 26, 28, 8, 1, 1
2020/2/9, 56, 17, 26, 2, , 1
2020/2/24, 47, 30, 27, 11, 1, 1
2020/2/25, 25, 14, 29, 4, 1, 1
2020/2/26, 30, 17, 28, 7, , 1
2020/2/27, 55, 43, 24, 8, , 1
2020/2/28, 90, 62, 24, 8, 1, 1
2020/2/29, 47, 28, 30, 2, 1, 1
2020/3/1, 45, 29, 30, , 1, 1
2020/3/2, 37, 20, 30, 4, 1, 1
2020/3/3, 36, 19, 18, 10, 1, 1
2020/3/4, 52, 29, 19, 2, 1, 1
2020/3/5, 42, 22, 30, 6, 1, 1
2020/3/6, 45, 26, 31, 8, , 1
2020/3/7, 52, 22, 30, 8, , 1
2020/3/8, 51, 21, 26, 6, , 1
2020/3/9, 64, 30, 27, 11, , 1
2020/3/10, 54, 28, 24, 13, , 1
2020/3/11, 52, 23, 15, 11, 1, 1
2020/3/12, 43, 22, 20, 10, 1, 1
2020/3/13, 34, 13, 25, 8, , 1
2020/3/14, 51, 21, 30, 5, , 1
2020/3/15, 46, 21, 29, 2, 1, 1
2020/3/16, 25, 17, 27, 5, 1, 1
2020/3/17, 31, 15, 26, 8, 1, 1
2020/3/18, 53, 23, 23, 8, 1, 1
2020/3/19, 67, 32, 25, 4, 1, 1
2020/3/20, 55, 25, 20, 5, 1, 1
2020/3/21, 48, 17, 24, , 1, 1
2020/3/22, 66, 34, 23, , 1, 1
2020/3/23, 62, 31, 21, 3, , 1
2020/3/24, 39, 17, 27, 2, 1, 1
2020/3/25, 54, 24, 27, 4, 1, 1
2020/3/26, 55, 27, 31, 1, 1, 1
2020/3/27, 42, 19, 34, 2, 1, 1
2020/3/28, 52, 19, 39, , 1, 1
2020/3/29, 57, 19, 38, , 1, 1
