date, pm25, pm10, o3, no2, so2, co
2019/2/19, 46, , 16, 26, 4, 
2019/2/20, 73, , 21, 30, 3, 
2019/2/21, 74, 48, 15, 34, 5, 
2019/2/22, 85, 49, 19, 28, 7, 
2019/2/23, 76, 49, 22, 27, 5, 
2019/2/24, 82, 50, 13, 36, 7, 
2019/2/25, 73, 45, 19, 32, 5, 
2019/2/26, 74, 36, 24, 31, 5, 
2019/2/27, 75, 38, 22, 28, 4, 
2019/2/28, 82, 30, 23, 25, 4, 
2019/3/1, 68, 21, 23, 23, 5, 
2019/3/2, 60, 17, 35, 13, 4, 
2019/3/3, 51, 25, 31, 18, 2, 
2019/3/4, 30, 23, 31, 16, 3, 
2019/3/5, 44, 14, 32, 10, 2, 
2019/3/6, 25, 12, 33, 15, 2, 
2019/3/7, 27, 15, 27, 21, 2, 
2019/3/8, 27, 20, 17, 17, 4, 
2019/3/9, 58, 19, 21, 15, 3, 
2019/3/10, 53, 16, 30, 20, 2, 
2019/3/11, 33, 23, 28, 24, 4, 
2019/3/12, 56, 18, 35, 21, 2, 
2019/3/13, 29, 17, 32, 22, 2, 
2019/3/14, 28, 19, 31, 23, 3, 
2019/3/15, 44, 24, 24, 26, 5, 
2019/3/16, 55, 21, 32, 14, 3, 
2019/3/17, 47, 15, 30, 21, 3, 
2019/3/18, 36, 11, 33, 14, 2, 
2019/3/19, 21, 12, 32, 22, 2, 
2019/3/20, 35, 22, 26, 30, 3, 
2019/3/21, 53, 23, 24, 32, 4, 
2019/3/22, 56, 25, 31, 31, 7, 
2019/3/23, 55, 25, 38, 25, 6, 
2019/3/24, 72, 19, 32, 18, 2, 
2019/3/25, 59, 15, 34, 18, 2, 
2019/3/26, 42, 30, 30, 23, 4, 
2019/3/27, 73, 28, 31, 26, 3, 
2019/3/28, 66, 28, 31, 28, 6, 
2019/3/29, 73, 25, 42, 20, 4, 
2019/3/30, 46, 23, 44, 22, 4, 
2019/3/31, 64, 21, 30, 25, 3, 
2018/10/1, 35, 19, 33, 18, 4, 
2018/10/2, 51, 22, 28, 19, 5, 
2018/10/3, 62, 29, 21, 25, 8, 
2018/10/4, 66, 35, 18, 24, 8, 
2018/10/5, 61, 36, 27, 33, 8, 
2018/10/6, 74, 35, 28, 21, 6, 
2018/10/7, 33, 20, 27, 12, 4, 
2018/10/8, 28, 17, 22, 18, 5, 
2018/10/9, 36, 14, 32, 16, 4, 
2018/10/10, 36, 22, 27, 17, 4, 
2018/10/11, 48, 18, 31, 13, 4, 
2018/10/12, 41, 12, 29, 11, 4, 
2018/10/13, 28, 15, 28, 16, 4, 
2018/10/14, 35, 21, 16, 21, 5, 
2018/10/15, 47, 31, 16, 21, 6, 
2018/10/16, 64, 26, 22, 21, 5, 
2018/10/17, 53, 31, 15, 25, 5, 
2018/10/18, 57, 37, 23, 26, 5, 
2018/10/19, 59, 39, 24, 23, 5, 
2018/10/20, 72, 35, 25, 16, 5, 
2018/10/21, 68, 31, 31, 22, 5, 
2018/10/22, 61, 33, 15, 25, 5, 
2018/10/23, 72, 32, 17, 24, 5, 
2018/10/24, 65, 33, 18, 23, 6, 
2018/10/25, 62, 29, 16, 20, 5, 
2018/10/26, 68, 16, 24, 20, 5, 
2018/10/27, 33, 8, 22, 20, 4, 
2018/10/28, 26, 12, 20, 19, 4, 
2018/10/29, 17, 14, 19, 20, 4, 
2018/10/30, 37, 25, 9, 25, 5, 
2018/10/31, 59, 18, 21, 18, 5, 
2018/11/1, 43, 15, 15, 24, 5, 
2018/11/2, 37, 16, 15, 20, 4, 
2018/11/3, 42, 15, 25, 15, 5, 
2018/11/4, 34, 14, 23, 20, 4, 
2018/11/5, 36, 11, 27, 15, 4, 
2018/11/6, 24, 19, 30, 21, 5, 
2018/11/7, 28, 19, 22, 21, 4, 
2018/11/8, 44, 13, 26, 17, 4, 
2018/11/9, 29, 13, 28, 13, 5, 
2018/11/10, 17, 14, 32, 12, 4, 
2018/11/11, 24, 16, 21, 28, 4, 
2018/11/12, 29, 20, 14, 22, 5, 
2018/11/13, 49, 30, 18, 24, 5, 
2018/11/14, 62, 33, 20, 19, 6, 
2018/11/15, 66, 34, 16, 15, 5, 
2018/11/16, 66, 26, 12, 15, 5, 
2018/11/17, 61, 22, 23, 4, 5, 
2018/11/18, 48, 25, 17, 12, 6, 
2018/11/19, 42, 24, 21, 9, 4, 
2018/11/20, 48, 19, 19, 7, 5, 
2018/11/21, 51, 14, 29, 6, 4, 
2018/11/22, 31, 12, 23, 6, 4, 
2018/11/23, 32, 8, 28, 2, 4, 
2018/11/24, 16, 12, 27, 6, 5, 
2018/11/25, 24, 14, 17, 5, 5, 
2018/11/26, 40, 19, 16, 20, 5, 
2018/11/27, 48, 17, 20, 25, 5, 
2018/11/28, 47, 15, 29, 16, 4, 
2018/11/29, 33, 21, 18, 25, 5, 
2018/11/30, 51, 17, 17, 22, 5, 
2018/12/1, 42, 12, 24, 12, 4, 
2018/12/2, 31, 13, 20, 20, 5, 
2018/12/3, 30, 24, 6, 23, 6, 
2018/12/4, 49, 29, 7, 25, 7, 
2018/12/5, 53, 26, 13, 22, 7, 
2018/12/6, 58, 22, 19, 23, 5, 
2018/12/7, 44, 24, 21, 24, 6, 
2018/12/8, 45, 29, 23, 21, 6, 
2018/12/9, 57, 37, 17, 28, 6, 
2018/12/10, 60, 40, 4, 30, 8, 
2018/12/11, 70, 42, 4, 30, 7, 
2018/12/12, 96, 27, 24, 22, 5, 
2018/12/13, 45, 21, 30, 25, 5, 
2018/12/14, 30, 19, 24, 12, 5, 
2018/12/15, 41, 12, 26, 15, 5, 
2018/12/16, 21, 20, 16, 24, 7, 
2018/12/17, 39, 21, 26, 15, 4, 
2018/12/18, 30, 21, 29, 21, 5, 
2018/12/19, 33, 22, 19, 18, 6, 
2018/12/20, 45, 11, 29, 10, 4, 
2018/12/21, 19, 13, 18, 18, 5, 
2018/12/22, 22, 14, 6, 19, 5, 
2018/12/23, 30, 20, 4, 19, 7, 
2018/12/24, 43, 20, 5, 13, 6, 
2018/12/25, 59, 18, 5, 21, 5, 
2018/12/26, 42, 23, 4, 21, 6, 
2018/12/27, 51, 33, 3, 23, 7, 
2018/12/28, 76, 30, 17, 19, 5, 
2018/12/29, 64, 21, 6, 17, 5, 
2018/12/30, 58, , , , , 
2018/9/4, 52, 26, 37, 19, 5, 
