date, pm25, pm10, o3, no2, so2, co
2020/7/3, 14, 18, 25, 4, , 1
2020/7/4, 13, 14, 22, 2, , 1
2020/7/5, 5, 20, 18, 4, , 1
2020/7/6, 9, 25, 33, 5, , 1
2020/7/7, 12, 29, 24, 4, 1, 1
2020/7/8, 26, 26, 30, 6, , 1
2020/7/9, 18, 21, 19, 6, , 1
2020/7/10, 11, 20, 25, 4, 1, 1
2020/7/11, 12, 23, 38, 3, 1, 1
2020/7/12, 19, 27, 35, 5, , 1
2020/7/13, 17, 25, 33, 7, , 1
2020/7/14, 19, 21, 22, 5, , 1
2020/7/15, 13, 25, 29, 5, , 1
2020/7/16, 20, 19, 32, 5, 1, 1
2020/7/17, 12, 23, 49, 7, 1, 1
2020/7/18, 16, 29, 41, 5, 1, 1
2020/7/19, 39, 27, 31, 5, 1, 1
2020/7/20, 29, 26, 31, 6, , 1
2020/7/21, 23, 32, 41, 7, , 1
2020/7/22, 33, 33, 37, 7, , 1
2020/7/23, 32, 25, 29, 7, , 1
2020/7/24, 26, 17, 24, 3, 1, 1
2020/7/25, 11, 11, 31, 3, , 1
2020/7/26, 16, 19, 30, 6, 1, 1
2020/7/27, 17, 16, 19, 5, 1, 1
2020/7/28, 9, 20, 30, 5, 1, 1
2020/7/29, 11, 26, 45, 7, 1, 1
2020/7/30, 24, 23, 31, 7, 1, 1
2020/7/31, 27, 18, 22, 4, 1, 1
2020/8/1, 10, 13, 25, 2, 1, 1
2020/8/2, 9, 17, 24, 5, 1, 1
2020/8/3, 13, 11, 33, 7, 1, 1
2020/8/4, 10, , 39, 8, 1, 1
2020/8/7, 30, 28, 38, 7, 1, 1
2020/8/8, 21, 26, 40, 4, 1, 1
2020/8/9, 27, 25, 29, 6, 1, 2
2020/8/10, 23, 29, 36, 8, 1, 2
2020/8/11, 32, 19, 13, 10, 1, 2
2020/8/12, 12, 17, 28, 8, 1, 1
2020/8/13, 11, 17, 29, 6, 1, 1
2020/8/14, 17, 14, 25, 4, 1, 1
2020/8/15, 14, 14, 22, 5, 1, 1
2020/8/16, 9, 20, 10, 9, 1, 2
2020/8/17, 11, 17, 10, 6, 1, 2
2020/8/18, 14, 23, 7, 6, 1, 2
2020/8/19, 13, 21, 22, 6, 1, 2
2020/8/20, 13, 21, 17, 8, 1, 2
2020/8/21, 18, 17, 26, 6, 1, 1
2020/8/22, 16, 13, 24, 4, , 2
2020/8/23, 11, 18, 30, 9, 1, 2
2020/8/24, 17, 15, 23, 8, 1, 2
2020/8/25, 17, 13, 19, 6, 1, 2
2020/8/26, 10, 11, 24, 5, 1, 2
2020/8/27, 7, 18, 23, 5, 1, 2
2020/8/28, 16, 18, 23, 5, 1, 2
2020/8/29, 21, 15, 28, 3, 1, 2
2020/8/30, 21, 19, 33, 9, 1, 2
2020/8/31, 18, 16, 34, 8, 1, 2
2020/9/1, 16, 18, 32, 8, 1, 2
2020/9/2, 19, 21, 40, 11, 1, 2
2020/9/3, 23, 29, 47, 12, 1, 2
2020/9/4, 32, 21, 29, 5, 1, 2
2020/9/5, 30, 11, 25, 3, 1, 2
2020/9/6, 9, 20, 23, 7, 1, 2
2020/9/7, 22, 21, 34, 9, 1, 2
2020/9/8, 15, 21, 35, 11, 1, 2
2020/9/9, 18, 26, 41, 10, 1, 2
2020/9/10, 33, 26, 42, 13, 1, 2
2020/9/11, 31, 25, 39, 12, 1, 2
2020/9/12, 24, 30, 40, 11, 1, 2
2020/9/13, 28, 44, 31, 12, 1, 3
2020/9/14, 56, 25, 25, 10, 1, 2
2020/9/15, 33, 22, 24, 11, 1, 2
2020/9/16, 18, 29, 26, 11, 2, 2
2020/9/17, 22, 22, 25, 10, 2, 2
2020/9/18, 13, 11, 21, 8, 1, 3
2020/9/19, 9, 13, 20, 7, 1, 3
2020/9/20, 20, 21, 27, 10, 1, 3
2020/9/21, 16, 22, 25, 10, 2, 3
2020/9/22, 19, 19, 20, 8, 2, 3
2020/9/23, 8, 26, 21, 9, 1, 3
2020/9/24, 18, 30, 25, 8, 1, 3
2020/9/25, 31, 22, 13, 9, 1, 3
2020/9/26, 21, 16, 28, 5, 1, 3
2020/9/27, 12, 22, 18, 10, 1, 3
2020/9/28, 24, 21, 25, 11, 1, 3
2020/9/29, 18, 21, 29, 9, 2, 3
2020/9/30, 29, 18, 22, 7, 2, 3
2020/4/1, 48, 14, 32, 6, , 1
2020/4/2, 38, 18, 32, 7, , 1
2020/4/3, 50, 11, 33, 5, , 1
2020/4/4, 32, 10, 30, 4, , 1
2020/4/5, 27, 13, 18, 5, , 1
2020/4/6, 30, 13, 25, 4, , 1
2020/4/7, 27, 17, 24, 5, , 1
2020/4/8, 41, 8, 18, 3, , 1
2020/4/9, 17, 5, 22, 2, , 1
2020/4/10, 8, 9, 24, 2, , 1
2020/4/11, 16, 11, 26, 1, , 1
2020/4/12, 21, 11, 24, 3, , 1
2020/4/13, 23, 12, 22, 5, , 1
2020/4/14, 27, 12, 26, 10, 1, 1
2020/4/15, 24, 14, 26, 11, , 1
2020/4/16, 29, 10, 25, 9, , 1
2020/4/17, 20, 11, 29, 3, , 1
2020/4/18, 26, 11, 25, 1, , 1
2020/4/19, 26, 14, 27, 4, , 1
2020/4/20, 24, 14, 30, 4, , 1
2020/4/21, 30, 16, 28, 6, , 1
2020/4/22, 38, 17, 30, 5, , 1
2020/4/23, 40, 19, 28, 5, , 1
2020/4/24, 39, 14, 27, 3, , 1
2020/4/25, 34, 20, 39, 2, , 
2020/4/26, 47, 12, 31, 6, , 1
2020/4/27, 30, 10, 33, 5, , 1
2020/4/28, 20, 12, 30, 4, , 1
2020/4/29, 18, 12, 28, 3, , 1
2020/4/30, 24, 4, 16, , , 1
2020/5/2, 14, 10, 24, 2, , 1
2020/5/3, 15, 19, 31, 4, , 1
2020/5/4, 25, 17, 31, 7, , 1
2020/5/5, 27, 16, 30, 5, , 1
2020/5/6, 25, 16, 30, 6, , 1
2020/5/7, 24, 21, 22, 7, 1, 1
2020/5/8, 31, 15, 29, 4, , 1
2020/5/9, 27, 8, 29, 1, 1, 1
2020/5/10, 16, 11, 28, 5, 1, 1
2020/5/11, 19, 11, 22, 4, 1, 1
2020/5/12, 11, 13, 30, 5, , 1
2020/5/13, 16, 11, 21, 7, 1, 1
2020/5/14, 10, 13, 30, 5, , 1
2020/5/15, 18, 17, 33, 3, , 1
2020/5/16, 31, 16, 35, 2, , 1
2020/5/17, 31, 18, 40, 7, , 1
2020/5/18, 29, 16, 40, 7, , 1
2020/5/19, 28, 21, 41, 7, , 1
2020/5/20, 49, 22, 38, 6, , 1
2020/5/21, 40, 13, 18, 5, , 1
2020/5/22, 26, 15, 28, 2, , 1
2020/5/23, 24, 14, 26, 2, , 1
2020/5/24, 20, 19, 25, 3, , 1
2020/5/25, 20, 19, 29, 6, , 1
2020/5/26, 25, 20, 33, 8, , 1
2020/5/27, 24, 27, 39, 8, , 1
2020/5/28, 32, 29, 35, 9, , 1
2020/5/29, 31, 25, 38, 6, 1, 1
2020/5/30, 33, 26, 36, 4, 1, 1
2020/5/31, 26, 26, 35, 6, , 1
2020/6/1, 27, 31, 33, 7, , 1
2020/6/2, 36, 30, 29, 5, 1, 1
2020/6/3, 40, 27, 31, 7, , 1
2020/6/4, 38, 24, 30, 6, , 1
